motion-design	Animate the card hover so it feels smoother and less abrupt
xlsx	Turn the attached quarterly revenue CSV into an Excel spreadsheet with a totals row and a chart
pptx	Make me a 5-slide PowerPoint pitch deck about our product
swiftui-pro	Review this SwiftUI view for performance problems and outdated APIs
champion-blueprint	Update the RACI section on the Champion Network blueprint page
jev-skill-suggestion:model-router	Send this prompt to the cheapest open-source model and show me its answer
higgsfield-product-photoshoot	Generate a studio product photo of our water bottle on a white background
none	What is the capital of France?
none	Explain in two sentences what a monad is
none	Rename the variable x to count in utils.py
